"Bug ID,""Summary"",""Severity""";
"26722,""[Incremental Reflow]Text clipped off in select widget"",""blocker""";
"19216,""Plugin streams only give 4114 bytes before closing"",""blocker""";
"26979,""window.open crashing."",""blocker""";
"26161,""gdk initialization breaks OSF/1"",""blocker""";
"27682,""[regression]<select> doesn't work on Mac"",""blocker""";
"25303,""FILE/FTP dir listings broken"",""blocker""";
"27279,""Opens new window for each window.open even though we want to use same child window opened previously."",""blocker""";
"26673,""Scrollbar calls in IM log window stopped working"",""blocker""";
"26727,""[dogfood] layout not rendering content in editor"",""blocker""";
"27239,""unknown content type dialog crashes"",""blocker""";
"26533,""[REGRESSION][DOGFOOD] Images with alt text fail to render we use the alt text instead"",""blocker""";
"26532,""[dogfood] regression: ESPN.com renders with all elements stacked on top of each other"",""blocker""";
"19286,""[DOGFOOD]Crashes in nsHTTPHandler"",""blocker""";
"21628,""Implement nsIDirectoryService"",""blocker""";
"14026,""Copy/Paste/Cut (etc) disabled within Browser"",""blocker""";
"27954,""FindCharInSet,RFindCharInSet,ReplaceChar in nsString and nsCSting is buggy."",""blocker""";
"27124,""crash clicking on text control at www.netaddress.com"",""blocker""";
"28012,""Urls loading on the Isolate lan are taking to long"",""blocker""";
"26691,""asserts when running Viewer"",""blocker""";
"22512,""Clicking just below scrollbar thumb moves thumb to bottom."",""blocker""";
"25156,""Java Plug-in 1.3beta crashes with nightly build from 27.1.2000"",""blocker""";
"28836,""div is not hidden and show correctly when it contains a GfxButtonControl"",""blocker""";
"9601,""Wallet viewers come up blank (was Crash in raptorhtml.dll opening Wallet Contents)"",""blocker""";
"28171,""convertFileToURL implementation damage non ASCII data."",""blocker""";
"27486,""Browser deadlock because Plug-in native window is destroyed before the applet's stop is called"",""blocker""";
"30738,""Crash when replying to a message with a bugzilla page."",""blocker""";
"27042,""Animated background images never stop painting"",""blocker""";
"25826,""nsGCCache.cpp line 28 causes HP build to fail"",""blocker""";
"27755,""Mozilla looks for OJI plug-in first in old Navigator's plugins directory"",""blocker""";
"31581,""Long multipart/mixed with table is truncated/doesn't display (was: Bugzilla submit query does not complete)"",""blocker""";
"14413,""Cannot listen for NS_PAINT events for nsMacWindow from my event handler"",""blocker""";
"31804,""open up another window/location while downloading freezes browser"",""blocker""";
"13879,""Input field caret does not respond to focus"",""blocker""";
"28413,""bloat stats leak total incorrect"",""blocker""";
"33536,""Crash in plugins on startup."",""blocker""";
"29674,""Crash loading http://my.netscape.com"",""blocker""";
"34298,""viewer crashes on visiting any HTTP URL"",""blocker""";
"34040,""HP-UX compiler doesn't like delete[] void *"",""blocker""";
"35344,""lock icon no longer works"",""blocker""";
"32541,""""""ASSERTION: Failed to update state"""" when scrolling"",""blocker""";
"34897,""[regression] Netscape will hang at typing Ja characters in Composer"",""blocker""";
"34444,""Crashes while launching 2000-04-04-09-M15/sea Windows commercial build."",""blocker""";
"14131,""[DOGFOOD] popups not working in modal dialogs (comboboxes, colorpicker)"",""blocker""";
"35594,""Numerous drawing problems on Linux"",""blocker""";
"36084,""Crashing during login to IM"",""blocker""";
"34464,""Crash clicking on menu bar after closing window"",""blocker""";
"36071,""[dogfood] Security Advisor does not display"",""blocker""";
"35603,""crash on double click on text or in textfield"",""blocker""";
"34553,""Problem compiling under BeOS see include patches for fixes."",""blocker""";
"31350,""Trying to print big pages cause browser hang up"",""blocker""";
"34491,""immediate crash loading www.excite.com"",""blocker""";
"28197,""NS_NewURI damange non ASCII data"",""blocker""";
"35794,""javascript: url crashes in nsStreamIOChannel::OnStopRequest()"",""blocker""";
"30916,""Cloned html element wont remember their previous state"",""blocker""";
"31330,""Page simply does not load or display. Works in Navigator 4.7"",""blocker""";
"14891,""resource protocol handler not up to current XPCOM registry file location standards"",""blocker""";
"32201,""The new layout of wired.com crashes the browser consistently"",""blocker""";
"37806,""AIM windows do not load CSS in menus and toolbars."",""blocker""";
"36924,""beos build broken"",""blocker""";
"34550,""Security modules don't compile on BeOS due to lack of XP_BEOS tags"",""blocker""";
"39946,""defaultString attribure in nsIFilePicker"",""blocker""";
"38527,""selection needs to play nice with drag and drop."",""blocker""";
"32229,""nsIDocumentLoaderObserver not firing on reload"",""blocker""";
"35849,""Box layout causes infinite loop"",""blocker""";
"39619,""Can't type in URLbar|Search textfields"",""blocker""";
"39281,""[regression] long links are being truncated (or corrupted)"",""blocker""";
"33935,""Open File on this test case causes crash"",""blocker""";
"40150,""Prefs/advanced pane crashes in insertion/layout"",""blocker""";
"40213,""can not submit form with javascript method submit()."",""blocker""";
"39811,""Mac text layout has bad spacing at style changes"",""blocker""";
"35838,""Mozilla (CVS as of 2000/04/14, 1:15 GMT) doesn't compile on Linux/Alpha"",""blocker""";
"34506,""Can't compile under Perl 5.6"",""blocker""";
"38768,""Printing and Crashing"",""blocker""";
"39392,""Crashing when adding buddies to buddy list"",""blocker""";
"41153,""Positioning Nested Layers and Overflow"",""blocker""";
"41275,""ENDER-LITE, typing in subject line of mail causes entire page to repaint"",""blocker""";
"42312,""tables rows not starting on new lines"",""blocker""";
"7276,""Need two minor changes for QNX"",""blocker""";
"8018,""Cannot determine if a given event queue is on the current thread"",""blocker""";
"8849,""[PP] [HELP WANTED] 1999-07-29 - Linux/RH5.2 may crash on startup."",""blocker""";
"13660,""PL_ProcessPendingEvents() doesn't just processing pending events"",""blocker""";
"40713,""Second half of headlines in incorrect font"",""blocker""";
"34769,""crash when running docfragment test -- cache related??"",""blocker""";
"23967,""[DOGFOOD] browser crashes running """"-f bloaturls.txt"""""",""blocker""";
"38884,""Invalid alignment in nsDBAccessor::GetID"",""blocker""";
"13157,""Need to support HTTP/0.9 server responses"",""blocker""";
"27710,""Assert in CNavDTD.cpp line 1828"",""blocker""";
"44318,""OS/2 visualge tinderbox breakage"",""blocker""";
"9151,""RemoveOverrideStyleSheet() does not reset the background color or image of the document"",""blocker""";
"43708,""Frame contents disappears when click a button that performs JavaScript url"",""blocker""";
"27558,""[FLASH] buy a bug. crash the browser. on http://www.vw.com/autoshow/index_flash.html"",""blocker""";
"41360,""crash bug using tmpfile() on mac -- MSL bug"",""blocker""";
"44022,""javascript:window.open(...), possibly other js urls busted"",""blocker""";
"38848,""nsIPluginManager::GetValue is not implemented"",""blocker""";
"35910,""Fail to print CJK page in Linux"",""blocker""";
"18309,""Cannot build on Solaris 7/x86"",""blocker""";
"46390,""crash on exit in nsStringRecycler::~nsStringRecycler"",""blocker""";
"43789,""Timers do not fire accurately"",""blocker""";
"37835,""Splitter/grippy stopped working"",""blocker""";
"46269,""Crashes at CStartToken::IsEmpty"",""blocker""";
"38914,""Browser enter infinite loop when selecting a Text entry widget"",""blocker""";
"48472,""Typing Japanese characters crashes browser"",""blocker""";
"40542,""Solaris 8 X86 Cannot connect to websites after starting mozilla"",""blocker""";
"49842,""[not viewer only] uses fixed width fonts"",""blocker""";
"48865,""XML Error....chrome:....navigator.xul....%navigatorDTD"",""blocker""";
"33861,""won't build from src on Solaris 2.5.1, gcc 2.95.2 - mozilla/xpcom/io/nsLocalFileUnix.cpp:424"",""blocker""";
"37257,""Race condition in DND code on linux"",""blocker""";
"50076,""Missing define for BeOS, HOME_DIR and another one..."",""blocker""";
"45568,""bugzilla """"show_bug.cgi"""" form repeats data"",""blocker""";
"24633,""Ensure that MathML compiles successfully in the M15 tarball"",""blocker""";
"22308,""Ensure that MathML compiles successfully in the M13 tarball"",""blocker""";
"19238,""M11: can't build with MathML"",""blocker""";
"44857,""[Patch] Mozilla won't build on Linux/SPARC"",""blocker""";
"48325,""Can't bring up Mail!!!"",""blocker""";
"49833,""[WORKS FOR ME]crash loading sample 5"",""blocker""";
"24778,""[BLOCKED][FIX]image-button doesn't show alternative text value"",""blocker""";
"53221,""cmsutil crashes when trying to encrypt data"",""blocker""";
"50070,""[STRICT DTD] remove Strict DTD parsing"",""blocker""";
"54131,""NSS tools need to be built with the -z and +s linker options."",""blocker""";
"53863,""unresolved symbol _secmod_GetInternalModule"",""blocker""";
"49415,""NSPR (tip of the tree) would't start up when NSPR_NATIVE_THREADS_ONLY=1"",""blocker""";
"40936,""user interface shows NO text or images"",""blocker""";
"22212,""new observer mechanism breaks tinderbox bloat detector"",""blocker""";
"33105,""Crash when quitting browser while movie is playing."",""blocker""";
"52722,""ABW: Writing past array bounds in nsTextTransformer::ScanNormalUnicodeText_F causes crash"",""blocker""";
"32327,""Mac: displaying page (flash, quicktime) ---> no more chrome ";")"",""blocker"""
"52698,""No method to verify certs only"",""blocker""";
"10207,""vertical-align: baseline not implemented for table cells"",""blocker""";
"55271,""BWindow's thread are not catched as NSPR Thread."",""blocker""";
"35687,""XBL key handler without specifying a key doesn't work"",""blocker""";
"49009,""We crash after showing any modal dialog"",""blocker""";
"38869,""Continual root_points_to_gcArenaPool assertions in Mac build"",""blocker""";
"32889,""Fix your damned IDE to stop inserting tabs as tabs"",""blocker""";
"41878,""<html> anon. content of <checkbox> not repainted when 'value' attribute changes"",""blocker""";
"49066,""Crash starting up mail when we try to bring up the password dialog"",""blocker""";
"53182,""login via basic auth does not work"",""blocker""";
"49012,""XBL widgets not being created correctly."",""blocker""";
